timestamp,network,mainers_created,total_cycles,total_paused,total_active,total_active_low,total_active_medium,total_active_high,total_active_very_high,total_paused_low,total_paused_medium,total_paused_high,total_paused_very_high
2025-06-28T16:14:57Z,prd,166,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:15:29Z,prd,167,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:16:00Z,prd,167,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:16:31Z,prd,168,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:17:03Z,prd,168,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:17:34Z,prd,170,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:18:05Z,prd,171,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:18:37Z,prd,171,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:19:09Z,prd,172,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:19:40Z,prd,173,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:20:12Z,prd,174,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:21:15Z,prd,174,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:21:46Z,prd,175,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:22:17Z,prd,175,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:22:49Z,prd,176,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:25:59Z,prd,176,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:26:31Z,prd,177,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:27:03Z,prd,178,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:27:34Z,prd,179,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:28:06Z,prd,179,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:28:37Z,prd,179,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:29:09Z,prd,180,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:29:40Z,prd,181,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:30:11Z,prd,181,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:30:43Z,prd,181,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:31:14Z,prd,182,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:34:54Z,prd,182,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:35:25Z,prd,183,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:35:57Z,prd,184,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:36:28Z,prd,185,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:37:00Z,prd,185,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:37:31Z,prd,186,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:38:03Z,prd,187,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:38:34Z,prd,189,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:39:06Z,prd,190,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:39:37Z,prd,190,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:40:09Z,prd,191,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:40:40Z,prd,192,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:41:12Z,prd,192,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:41:43Z,prd,194,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:42:15Z,prd,195,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:42:46Z,prd,196,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:43:18Z,prd,197,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:43:49Z,prd,198,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:45:25Z,prd,198,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:45:57Z,prd,199,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:51:12Z,prd,199,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:51:43Z,prd,200,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:52:15Z,prd,200,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:52:46Z,prd,200,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:53:17Z,prd,200,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:53:49Z,prd,201,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:58:00Z,prd,201,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:58:31Z,prd,202,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T17:01:08Z,prd,202,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T17:01:40Z,prd,203,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T17:03:45Z,prd,203,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T17:07:25Z,prd,204,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T17:19:30Z,prd,204,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T17:20:01Z,prd,205,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T17:20:33Z,prd,206,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T17:22:08Z,prd,206,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T17:22:40Z,prd,207,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T17:23:11Z,prd,207,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T17:23:42Z,prd,208,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T17:24:14Z,prd,208,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T17:24:45Z,prd,209,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T17:34:10Z,prd,209,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T17:34:42Z,prd,210,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T17:54:05Z,prd,210,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T17:54:37Z,prd,211,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T18:15:48Z,prd,211,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T18:16:20Z,prd,212,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T18:33:06Z,prd,212,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T18:33:37Z,prd,213,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T18:57:44Z,prd,213,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T18:58:15Z,prd,213,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T18:58:47Z,prd,213,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T18:59:18Z,prd,213,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T19:24:26Z,prd,213,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T19:29:54Z,prd,214,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T20:30:26Z,prd,214,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T20:48:53Z,prd,215,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T22:00:55Z,prd,215,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T22:17:01Z,prd,216,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T23:26:52Z,prd,217,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T01:23:08Z,prd,217,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T03:06:10Z,prd,222,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T03:23:49Z,prd,222,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T13:56:07Z,prd,256,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T13:56:38Z,prd,257,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T13:57:10Z,prd,257,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T13:57:41Z,prd,259,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:00:20Z,prd,259,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:00:51Z,prd,261,0,0,0,0,0,0,0,0,0,0,0
2025-06-29T14:01:22Z,prd,262,0,0,0,0,0,0,0,0,0,0,0
